tau,coverage,accuracy,n_kept,Method
0,1,0.9666666666666667,30,MC-Dropout
0.01,1,0.9666666666666667,30,MC-Dropout
0.02,1,0.9666666666666667,30,MC-Dropout
0.03,1,0.9666666666666667,30,MC-Dropout
0.04,1,0.9666666666666667,30,MC-Dropout
0.05,1,0.9666666666666667,30,MC-Dropout
0.06,1,0.9666666666666667,30,MC-Dropout
0.07,1,0.9666666666666667,30,MC-Dropout
0.08,1,0.9666666666666667,30,MC-Dropout
0.09,1,0.9666666666666667,30,MC-Dropout
0.1,1,0.9666666666666667,30,MC-Dropout
0.11,1,0.9666666666666667,30,MC-Dropout
0.12,1,0.9666666666666667,30,MC-Dropout
0.13,1,0.9666666666666667,30,MC-Dropout
0.14,1,0.9666666666666667,30,MC-Dropout
0.15,1,0.9666666666666667,30,MC-Dropout
0.16,1,0.9666666666666667,30,MC-Dropout
0.17,1,0.9666666666666667,30,MC-Dropout
0.18,1,0.9666666666666667,30,MC-Dropout
0.19,1,0.9666666666666667,30,MC-Dropout
0.2,1,0.9666666666666667,30,MC-Dropout
0.21,1,0.9666666666666667,30,MC-Dropout
0.22,1,0.9666666666666667,30,MC-Dropout
0.23,1,0.9666666666666667,30,MC-Dropout
0.24,1,0.9666666666666667,30,MC-Dropout
0.25,1,0.9666666666666667,30,MC-Dropout
0.26,1,0.9666666666666667,30,MC-Dropout
0.27,1,0.9666666666666667,30,MC-Dropout
0.28,1,0.9666666666666667,30,MC-Dropout
0.29,1,0.9666666666666667,30,MC-Dropout
0.3,1,0.9666666666666667,30,MC-Dropout
0.31,1,0.9666666666666667,30,MC-Dropout
0.32,1,0.9666666666666667,30,MC-Dropout
0.33,1,0.9666666666666667,30,MC-Dropout
0.34,1,0.9666666666666667,30,MC-Dropout
0.35000000000000003,1,0.9666666666666667,30,MC-Dropout
0.36,1,0.9666666666666667,30,MC-Dropout
0.37,1,0.9666666666666667,30,MC-Dropout
0.38,1,0.9666666666666667,30,MC-Dropout
0.39,1,0.9666666666666667,30,MC-Dropout
0.4,1,0.9666666666666667,30,MC-Dropout
0.41000000000000003,1,0.9666666666666667,30,MC-Dropout
0.42,1,0.9666666666666667,30,MC-Dropout
0.43,1,0.9666666666666667,30,MC-Dropout
0.44,1,0.9666666666666667,30,MC-Dropout
0.45,1,0.9666666666666667,30,MC-Dropout
0.46,1,0.9666666666666667,30,MC-Dropout
0.47000000000000003,1,0.9666666666666667,30,MC-Dropout
0.48,1,0.9666666666666667,30,MC-Dropout
0.49,1,0.9666666666666667,30,MC-Dropout
0.5,1,0.9666666666666667,30,MC-Dropout
0.51,1,0.9666666666666667,30,MC-Dropout
0.52,1,0.9666666666666667,30,MC-Dropout
0.53,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.54,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.55,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.56,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.5700000000000001,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.58,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.59,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.6,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.61,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.62,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.63,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.64,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.65,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.66,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.67,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.68,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.6900000000000001,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.7000000000000001,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.71,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.72,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.73,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.74,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.75,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.76,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.77,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.78,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.79,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.8,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.81,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.8200000000000001,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.8300000000000001,0.9666666666666667,0.9655172413793104,29,MC-Dropout
0.84,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.85,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.86,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.87,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.88,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.89,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.9,0.9333333333333333,0.9642857142857143,28,MC-Dropout
0.91,0.9,1,27,MC-Dropout
0.92,0.9,1,27,MC-Dropout
0.93,0.9,1,27,MC-Dropout
0.9400000000000001,0.9,1,27,MC-Dropout
0.9500000000000001,0.9,1,27,MC-Dropout
0.96,0.8666666666666667,1,26,MC-Dropout
0.97,0.8,1,24,MC-Dropout
0.98,0.5333333333333333,1,16,MC-Dropout
0.99,0.23333333333333334,1,7,MC-Dropout
0,1,0.9333333333333333,30,Deep Ensemble
0.01,1,0.9333333333333333,30,Deep Ensemble
0.02,1,0.9333333333333333,30,Deep Ensemble
0.03,1,0.9333333333333333,30,Deep Ensemble
0.04,1,0.9333333333333333,30,Deep Ensemble
0.05,1,0.9333333333333333,30,Deep Ensemble
0.06,1,0.9333333333333333,30,Deep Ensemble
0.07,1,0.9333333333333333,30,Deep Ensemble
0.08,1,0.9333333333333333,30,Deep Ensemble
0.09,1,0.9333333333333333,30,Deep Ensemble
0.1,1,0.9333333333333333,30,Deep Ensemble
0.11,1,0.9333333333333333,30,Deep Ensemble
0.12,1,0.9333333333333333,30,Deep Ensemble
0.13,1,0.9333333333333333,30,Deep Ensemble
0.14,1,0.9333333333333333,30,Deep Ensemble
0.15,1,0.9333333333333333,30,Deep Ensemble
0.16,1,0.9333333333333333,30,Deep Ensemble
0.17,1,0.9333333333333333,30,Deep Ensemble
0.18,1,0.9333333333333333,30,Deep Ensemble
0.19,1,0.9333333333333333,30,Deep Ensemble
0.2,1,0.9333333333333333,30,Deep Ensemble
0.21,1,0.9333333333333333,30,Deep Ensemble
0.22,1,0.9333333333333333,30,Deep Ensemble
0.23,1,0.9333333333333333,30,Deep Ensemble
0.24,1,0.9333333333333333,30,Deep Ensemble
0.25,1,0.9333333333333333,30,Deep Ensemble
0.26,1,0.9333333333333333,30,Deep Ensemble
0.27,1,0.9333333333333333,30,Deep Ensemble
0.28,1,0.9333333333333333,30,Deep Ensemble
0.29,1,0.9333333333333333,30,Deep Ensemble
0.3,1,0.9333333333333333,30,Deep Ensemble
0.31,1,0.9333333333333333,30,Deep Ensemble
0.32,1,0.9333333333333333,30,Deep Ensemble
0.33,1,0.9333333333333333,30,Deep Ensemble
0.34,1,0.9333333333333333,30,Deep Ensemble
0.35000000000000003,1,0.9333333333333333,30,Deep Ensemble
0.36,1,0.9333333333333333,30,Deep Ensemble
0.37,1,0.9333333333333333,30,Deep Ensemble
0.38,1,0.9333333333333333,30,Deep Ensemble
0.39,1,0.9333333333333333,30,Deep Ensemble
0.4,1,0.9333333333333333,30,Deep Ensemble
0.41000000000000003,1,0.9333333333333333,30,Deep Ensemble
0.42,1,0.9333333333333333,30,Deep Ensemble
0.43,1,0.9333333333333333,30,Deep Ensemble
0.44,1,0.9333333333333333,30,Deep Ensemble
0.45,1,0.9333333333333333,30,Deep Ensemble
0.46,1,0.9333333333333333,30,Deep Ensemble
0.47000000000000003,1,0.9333333333333333,30,Deep Ensemble
0.48,1,0.9333333333333333,30,Deep Ensemble
0.49,1,0.9333333333333333,30,Deep Ensemble
0.5,1,0.9333333333333333,30,Deep Ensemble
0.51,1,0.9333333333333333,30,Deep Ensemble
0.52,1,0.9333333333333333,30,Deep Ensemble
0.53,1,0.9333333333333333,30,Deep Ensemble
0.54,1,0.9333333333333333,30,Deep Ensemble
0.55,1,0.9333333333333333,30,Deep Ensemble
0.56,1,0.9333333333333333,30,Deep Ensemble
0.5700000000000001,1,0.9333333333333333,30,Deep Ensemble
0.58,1,0.9333333333333333,30,Deep Ensemble
0.59,1,0.9333333333333333,30,Deep Ensemble
0.6,1,0.9333333333333333,30,Deep Ensemble
0.61,1,0.9333333333333333,30,Deep Ensemble
0.62,1,0.9333333333333333,30,Deep Ensemble
0.63,1,0.9333333333333333,30,Deep Ensemble
0.64,1,0.9333333333333333,30,Deep Ensemble
0.65,1,0.9333333333333333,30,Deep Ensemble
0.66,1,0.9333333333333333,30,Deep Ensemble
0.67,1,0.9333333333333333,30,Deep Ensemble
0.68,1,0.9333333333333333,30,Deep Ensemble
0.6900000000000001,1,0.9333333333333333,30,Deep Ensemble
0.7000000000000001,1,0.9333333333333333,30,Deep Ensemble
0.71,1,0.9333333333333333,30,Deep Ensemble
0.72,1,0.9333333333333333,30,Deep Ensemble
0.73,1,0.9333333333333333,30,Deep Ensemble
0.74,1,0.9333333333333333,30,Deep Ensemble
0.75,1,0.9333333333333333,30,Deep Ensemble
0.76,1,0.9333333333333333,30,Deep Ensemble
0.77,1,0.9333333333333333,30,Deep Ensemble
0.78,1,0.9333333333333333,30,Deep Ensemble
0.79,1,0.9333333333333333,30,Deep Ensemble
0.8,1,0.9333333333333333,30,Deep Ensemble
0.81,1,0.9333333333333333,30,Deep Ensemble
0.8200000000000001,1,0.9333333333333333,30,Deep Ensemble
0.8300000000000001,1,0.9333333333333333,30,Deep Ensemble
0.84,1,0.9333333333333333,30,Deep Ensemble
0.85,1,0.9333333333333333,30,Deep Ensemble
0.86,1,0.9333333333333333,30,Deep Ensemble
0.87,1,0.9333333333333333,30,Deep Ensemble
0.88,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.89,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.9,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.91,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.92,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.93,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.9400000000000001,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.9500000000000001,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.96,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.97,0.9666666666666667,0.9655172413793104,29,Deep Ensemble
0.98,0.9333333333333333,1,28,Deep Ensemble
0.99,0.9,1,27,Deep Ensemble
